EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,APreWBkWh,APreWBkW,APreWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ04,cPVVG,Each,1,68000,None,5410,0,-0.00375,5410,0,-0.00375,,,,,,,,,20,,559090,4839.3,,,553670,4839.3,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ05,cPVVG,Each,1,68000,None,8170,1.72,-0.00273,8170,1.72,-0.00273,,,,,,,,,20,,473880,3490.3,,,465710,3490.3,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ06,cPVVG,Each,1,68000,None,9330,0.295,-0.00205,9330,0.295,-0.00205,,,,,,,,,20,,528580,1358.3,,,519260,1358.3,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ07,cPVVG,Each,1,68000,None,8460,0,-0.00239,8460,0,-0.00239,,,,,,,,,20,,529440,1270.8,,,520980,1270.8,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ08,cPVVG,Each,1,68000,None,6660,0,-0.00239,6660,0,-0.00239,,,,,,,,,20,,582400,1624.9,,,575730,1624.9,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ09,cPVVG,Each,1,68000,None,6780,0,-0.00205,6780,0,-0.00205,,,,,,,,,20,,580560,1979.5,,,573770,1979.5,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ10,cPVVG,Each,1,68000,None,5400,0,-0.00205,5400,0,-0.00205,,,,,,,,,20,,601800,2058.2,,,596390,2058.2,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ11,cPVVG,Each,1,68000,None,3970,0,-0.00273,3970,0,-0.00273,,,,,,,,,20,,620390,5204.9,,,616420,5204.9,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ12,cPVVG,Each,1,68000,None,5270,0.001,-0.00239,5270,0.001,-0.00239,,,,,,,,,20,,557900,5199.4,,,552630,5199.4,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ13,cPVVG,Each,1,68000,None,4370,0,-0.00239,4370,0,-0.00239,,,,,,,,,20,,632910,4442.5,,,628540,4442.5,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ14,cPVVG,Each,1,68000,None,4550,0,-0.00273,4550,0,-0.00273,,,,,,,,,20,,629190,4798.4,,,624630,4798.4,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ15,cPVVG,Each,1,68000,None,3820,0,-0.00171,3820,0,-0.00171,,,,,,,,,20,,811860,1303.3,,,808050,1303.3,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ16,cPVVG,Each,1,68000,None,5480,0.172,-0.00239,5480,0.172,-0.00239,,,,,,,,,20,,486370,10236,,,480890,10236,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ01,cDXGF,Each,1,284000,None,55000,19.4,-0.254,55000,19.4,-0.254,,,,,,,,,20,,1908800,25009,,,1853800,25009,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ02,cDXGF,Each,1,284000,None,62700,7.72,-0.344,62700,7.72,-0.344,,,,,,,,,20,,2173700,21993,,,2110900,21993,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,ECC,Ex,CZ03,cDXGF,Each,1,284000,None,102000,15.3,-0.238,102000,15.3,-0.238,,,,,,,,,20,,2096600,19944,,,1994400,19944,,,,,,
