Sector,BldgType,BldgVint,BldgHVAC,BldgLoc,Type,Source Year,TechGroup,TechType,TechID,annual_sum
Com,Asm,Ex,cDXHP,CZ09,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr,555394.6876263254
Com,Asm,Ex,cDXOH,CZ09,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,684627.7108040937
Com,Asm,Ex,cDXOH,CZ09,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,552240.2837970557
Com,Asm,Ex,cDXOH,CZ09,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,546198.7817454387
Com,Asm,Ex,cDXOH,CZ09,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,550328.0669043898
Com,Asm,Ex,cDXGF,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,709126.7950231537
Com,Asm,Ex,cDXGF,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDExMtr,564399.5238038489
Com,Asm,Ex,cDXGF,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDPMMtr,558074.3365428974
Com,Asm,Ex,cDXGF,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr,562343.0566398759
Com,Asm,Ex,cDXHP,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,720776.5886456738
Com,Asm,Ex,cDXHP,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDExMtr,583658.7912011436
Com,Asm,Ex,cDXHP,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDPMMtr,577840.9685056742
Com,Asm,Ex,cDXHP,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr,581780.2121011944
Com,Asm,Ex,cDXOH,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,705099.6013642995
Com,Asm,Ex,cDXOH,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,575677.1759583531
Com,Asm,Ex,cDXOH,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,569946.5322540111
Com,Asm,Ex,cDXOH,CZ10,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,573776.6160250446
Com,Asm,Ex,cDXGF,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,733136.3327196197
Com,Asm,Ex,cDXGF,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDExMtr,587959.3015145004
Com,Asm,Ex,cDXGF,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDPMMtr,581898.8402925226
Com,Asm,Ex,cDXGF,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr,585957.7902020863
Com,Asm,Ex,cDXHP,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,764797.1984839558
Com,Asm,Ex,cDXHP,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDExMtr,626861.1358199591
Com,Asm,Ex,cDXHP,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDPMMtr,621248.5336507357
Com,Asm,Ex,cDXHP,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr,624990.0198443995
Com,Asm,Ex,cDXOH,CZ11,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,729959.9789246884
