TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ14,cDXGF,0,Each,1.0,499990.41934355197,3706286.1999999997,850055.03,0,449066.39,0.0,720447.58,0,0,1686713.84,0,0,0.0,0,0,0,28438.85767918089,0.0,25721.42491467577,2717.4327645051194,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ13,cDXGF,0,Each,1.0,499990.41934355197,3563962.6700000004,850055.03,0,449066.39,0.0,753286.02,0,0,1511551.87,0,0,0.0,0,0,0,31248.04709897611,0.0,28606.178839590444,2641.8682593856656,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ12,cDXGF,0,Each,1.0,499990.41934355197,3332263.57,850055.03,0,449066.39,0.0,460771.84,0,0,1572366.95,0,0,0.0,0,0,0,35128.8252559727,0.0,32306.33310580205,2822.4921501706485,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ11,cDXGF,0,Each,1.0,499990.41934355197,3509527.98,850055.03,0,449066.39,0.0,696807.45,0,0,1513595.75,0,0,0.0,0,0,0,35612.61228668942,0.0,32916.11023890785,2696.5020477815697,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ10,cDXGF,0,Each,1.0,499990.41934355197,3254345.21,850055.03,0,449066.39,0.0,591213.8,0,0,1364006.63,0,0,0.0,0,0,0,13714.569965870307,0.0,11084.895221843002,2629.674744027304,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ09,cDXGF,0,Each,1.0,499990.41934355197,3209812.2899999996,850055.03,0,449066.39,0.0,514191.12,0,0,1396496.39,0,0,0.0,0,0,0,13789.520136518771,0.0,11125.78566552901,2663.734470989761,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ08,cDXGF,0,Each,1.0,499990.41934355197,3147755.4499999997,850055.03,0,449066.39,0.0,498613.51,0,0,1350017.16,0,0,0.0,0,0,0,10985.792150170648,0.0,8341.167576791808,2644.6245733788396,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ07,cDXGF,0,Each,1.0,499990.41934355197,2818170.02,850055.03,0,449066.39,0.0,261951.76,0,0,1257093.48,0,0,0.0,0,0,0,8954.72013651877,0.0,6254.172354948805,2700.547781569966,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ06,cDXGF,0,Each,1.0,499990.41934355197,2717898.0100000002,850055.03,0,449066.39,0.0,210076.2,0,0,1208697.03,0,0,0.0,0,0,0,10076.810580204778,0.0,7348.048122866894,2728.762457337884,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ05,cDXGF,0,Each,1.0,499990.41934355197,2865009.65,850055.03,0,449066.39,0.0,79673.66,0,0,1486211.21,0,0,0.0,0,0,0,22903.57576791809,0.0,19940.894539249144,2962.681228668942,1,1,2026-07-16 22:51:30.560719
